idUser|username|country|subscription
1002331|user123|USA|Premium
1002332|gamerGirl97|Canada|Basic
1002333|techMaster|UK|Premium
1002334|soccerFan|Brazil|Basic
1002335|travelBug|Australia|Premium
1002336|musicLover|France|Basic
1002337|foodie88|Italy|Premium
1002338|bookWorm23|Germany|Basic
1002339|fitnessJunk|Mexico|Premium
10023310|movieBuff|Japan|Basic
10023311|artAficiona|Spain|Premium
10023312|petLover99|Netherlands|Basic
10023313|fashionista|SouthKorea|Premium
10023314|codingNinja|India|Basic
10023315|natureLover|Norway|Premium
10023316|coffeeAddct|Colombia|Basic
10023317|beachBum|Bahamas|Premium
10023318|skiEnthusst|Switzerland|Basic
10023319|homeChef|NewZealand|Premium
10023320|yogiMaster|Thailand|Basic
